hex_id,flag_no_transition,primary_type,group_type,total_area,diag_total,offdiag_total,offdiag_ratio,dominant_value_col,dominant_area,dominant_share_of_offdiag,dom_from,dom_to,dom_from_name,dom_to_name,beta_obs,beta_nat_clim,beta_res_clim,share_nat_clim,dominance_clim,beta_nat_co2,beta_res_co2,share_nat_co2,dominance_co2,beta_clim,beta_co2,beta_res,share_abs_clim,share_abs_co2,share_abs_res,P90_trend,VPD90_trend,Tmean_trend,SM90_L1_trend,ET90_trend,SWnet90_trend,VPD_resid_trend
311226,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,57060000,43290000,0.431390135,VALUE_906,37800000,0.873180873,9,6,bare_areas,sparse_vegetation,0.26161339,-0.012318664,0.273932053,0.043034525,RESIDUAL,0.198561566,0.063051824,0.758988546,NATURAL,-0.012318664,0.21088023,0.063051824,0.043034525,0.736697648,0.220267828,-0.505593196,0.003447282,0.022542344,-0.000374337,-0.850872471,-0.23532163,0.002077649
311227,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,75690000,24570000,0.245062837,VALUE_906,16920000,0.688644689,9,6,bare_areas,sparse_vegetation,0.461073069,-0.014498889,0.475571958,0.029585291,RESIDUAL,0.196537904,0.264535165,0.426261948,RESIDUAL,-0.014498889,0.211036793,0.264535165,0.029585291,0.430625071,0.539789638,-0.620819198,0.003816768,0.024894962,-0.00033267,-1.002086177,-0.250611961,0.002267622
311228,FALSE,Bare_to_Sparse,Bare_to_Sparse,98370000,62460000,35910000,0.36505032,VALUE_906,30240000,0.842105263,9,6,bare_areas,sparse_vegetation,0.481550571,-0.014345014,0.495895585,0.028114215,RESIDUAL,0.196559508,0.284991063,0.408180408,RESIDUAL,-0.014345014,0.210904522,0.284991063,0.028114215,0.413343279,0.558542506,-0.631900216,0.003610104,0.025442974,-0.000230935,-1.084949202,-0.267677408,0.002012797
311236,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,40590000,59760000,0.595515695,VALUE_906,54990000,0.920180723,9,6,bare_areas,sparse_vegetation,0.250565129,0.002087328,0.248477801,0.008330479,RESIDUAL,0.210607797,0.039957331,0.840531157,NATURAL,0.002087328,0.20852047,0.039957331,0.008330479,0.832200678,0.159468843,-0.146809872,0.001560795,0.028956698,8.42E-05,-0.378156421,-0.300460506,-0.000309296
311237,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,68220000,32040000,0.31956912,VALUE_906,31320000,0.97752809,9,6,bare_areas,sparse_vegetation,0.345171677,0.000467147,0.34470453,0.001353376,RESIDUAL,0.209238962,0.135932715,0.606188097,NATURAL,0.000467147,0.208771815,0.135932715,0.001353376,0.604834721,0.393811903,-0.195185749,0.001813289,0.02901174,1.35E-06,-0.406422957,-0.299090323,-6.02E-05
311238,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,91710000,8550000,0.085278276,VALUE_906,7830000,0.915789474,9,6,bare_areas,sparse_vegetation,0.459747119,-0.002341246,0.462088365,0.005041121,RESIDUAL,0.20697067,0.252776449,0.450183723,RESIDUAL,-0.002341246,0.209311915,0.252776449,0.005041121,0.450685983,0.544272896,-0.298822312,0.001915073,0.029014982,-0.000120939,-0.476326328,-0.313292937,3.47E-05
311239,FALSE,Bare_to_Sparse,Bare_to_Sparse,98460000,85230000,13230000,0.134369287,VALUE_906,11880000,0.897959184,9,6,bare_areas,sparse_vegetation,0.282692192,0.002017429,0.280674763,0.007136486,RESIDUAL,0.210684172,0.072008019,0.745277651,NATURAL,0.002017429,0.208666744,0.072008019,0.007136486,0.738141165,0.254722349,-0.141025666,0.000910235,0.02634089,-7.38E-05,-0.378863929,-0.346790643,-0.000790023
311240,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,94860000,5490000,0.05470852,VALUE_906,5220000,0.950819672,9,6,bare_areas,sparse_vegetation,0.106440344,0.008233161,0.098207183,0.077350004,RESIDUAL,0.215856893,-0.109416549,0.663616715,NATURAL,0.008233161,0.207623732,-0.109416549,0.025311507,0.638305208,0.336383285,0.095270213,-0.000289883,0.023225192,1.05E-05,-0.239156664,-0.386402392,-0.001780535
311241,FALSE,Bare_to_Sparse,Bare_to_Sparse,100260000,95220000,5040000,0.0502693,VALUE_906,5040000,1,9,6,bare_areas,sparse_vegetation,0.369611953,0.012878375,0.356733578,0.034842961,RESIDUAL,0.219644357,0.149967595,0.594256641,NATURAL,0.012878375,0.206765983,0.149967595,0.034842961,0.55941368,0.405743359,0.291493685,-0.001061783,0.021700534,7.55E-05,-0.144604217,-0.41246473,-0.002453003
311243,FALSE,Bare_to_Sparse,Bare_to_Sparse,100350000,98370000,1980000,0.019730942,VALUE_906,1710000,0.863636364,9,6,bare_areas,sparse_vegetation,0.451899165,0.014730309,0.437168856,0.03259645,RESIDUAL,0.220637485,0.23126168,0.48824495,RESIDUAL,0.014730309,0.205907176,0.23126168,0.03259645,0.4556485,0.51175505,0.410426282,-0.000415631,0.027140721,0.000126879,-0.145813726,-0.444486874,-0.00222039
